Project Acronym,Project Name,Start Date,End Date,Website,twitter
AENEAS,Advanced European Network of E-infrastructures for Astronomy with the SKA,01/2017,12/2019,http://www.aeneas2020.eu,@aeneas2020
AGINFRA+,Accelerating user-driven e-infrastructure innovation in Food Agriculture,01/2017,12/2019,http://plus.aginfra.eu,@aginfra
ARCHIVER,Archiving and Preservation for Research Environments,01/2019,12/2021,http://www.archiver-project.eu,@ArchiverProject
BE OPEN,European forum and oBsErvatory for OPEN science in transport,01/2019,06/2021,http://beopen-project.eu,@OpenScTransport
Blue-Cloud,Piloting innovative services for Marine Research & the Blue Economy,10/2019,09/2022,http://www.blue-cloud.org,@BlueCloudEU
CatRIS,Catalogue of Research Infrastructure Services,01/2019,06/2021,http://project.catris.eu,@project_catris
CINECA,"Common Infrastructure for National Cohorts in Europe, Canada, and Africa ",01/2019,12/2022,http://www.cineca-project.eu,@CinecaProject
COS4CLOUD,Co-designed Citizen Observatories Services for the EOS-Cloud,11/2019,02/2023,http://www.cos4cloud-eosc.eu,@Cos4Cloud
CS3MESH4EOSC,"Interactive and agile/responsive sharing mesh of storage, data and applications for EOSC ",01/2020,12/2022,https://cs3mesh4eosc.eu/,@cs3org
DARE,Delivering Agile Research Excellence on European e-Infrastructures,01/2018,12/2020,http://project-dare.eu,@EU_project_DARE
DEEP - Hybrid-DataCloud,Designing and Enabling E-infrastructures for intensive Processing in a Hybrid DataCloud,11/2017,04/2020,http://deep-hybrid-datacloud.eu,@DEEP_eu
DigitalHealthEurope,Support to a Digital Health and Care Innovation initiative in the context of Digital Single Market strategy,01/2019,12/2020,http://digitalhealtheurope.eu,@DHE_2020
e-IRGSP6,e-Infrastructure Reflection Group Support Programme 6,01/2019,06/2021,http://e-irgsp6.e-irg.eu,@eirgeu
eInfraCentral,European E-Infrastructure Services Gateway,01/2017,06/2019,http://einfracentral.eu,@eInfraCentral
ENVRI-FAIR,"ENVironmental Research Infrastructures building Fair services Accessible for society, Innovation and Research ",01/2019,12/2022,http://envri.eu,@ENVRIcomm
EOSC Enhance,Enhancing the EOSC portal and connecting thematic clouds,12/2019,11/2021,http://www.eosc-portal.eu,@EoscPortal
EOSC-hub,Integrating and managing services for the European Open Science Cloud,01/2018,12/2020,http://eosc-hub.eu,@EOSC_eu
EOSC-Life,Providing an open collaborative space for digital biology in Europe,03/2019,02/2023,http://www.eosc-life.eu,@EoscLife
EOSC-Nordic,EOSC-Nordic,09/2019,08/2022,http://www.eosc-nordic.eu,@EOSC_Nordic
EOSC-Pillar,"Coordination and Harmonisation of National Inititiatives, Infrastructures and Data services in Central and Western Europe ",06/2019,06/2022,http://www.eosc-pillar.eu,@EoscPillar
EOSC-Synergy,European Open Science Cloud - Expanding Capacities by building Capabilities,09/2019,02/2022,http://www.eosc-synergy.eu,@EOSC_synergy
EOSCpilot,The European Open Science Cloud for Research Pilot Project,01/2017,05/2019,http://eoscpilot.eu,@eoscpilot
EOSCsecretariat.eu,EOSCsecretariat.eu - Setup and amagement of the EOSC Secretariat supporting the EOSC Governance,01/2019,06/2021,http://www.eoscsecretariat.eu,@EoscSecretariat
ESCAPE,European Science Cluster of Astronomy & Particle physics ESFRI research infrastructures,02/2019,07/2022,http://www.projectescape.eu,@ESCAPE_EU
ExPaNDS,EOSC Photon and Neutron Data Services,09/2019,08/2022,http://expands.eu,@ExPaNDs_EU
FAIR4Fusion,Fair for Fusion - open access for fusion data in Europe,09/2019,08/2021,http://www.fair4fusion.eu,@fair4fusion
FAIR4Health,Improving Health Research in EU through FAIR Data,12/2018,11/2021,http://www.fair4health.eu,@Fair4Health
FAIRplus,FAIRplus,01/2019,06/2022,http://fairplus-project.eu,@FAIRplus_eu
FAIRsFAIR,Fostering Fair Data Practices in Europe,03/2019,02/2022,http://fairsfair.eu,@FAIRsFAIR_EU
FNS-Cloud,Food Nutrition Security Cloud,10/2019,09/2023,http://www.fns-cloud.eu,@FNSCloudEU
FREYA,"Connected Open Identifiers for Discovery, Access and Use of Research Resources ",12/2017,11/2020,http://www.project-freya.eu,@freya_eu
GN4-3,Horizon 2020: H2020-SGA-INFRA-GEANT-2018 Topic [b] Increase of Long-Term Backbone Capacity,01/2019,12/2022,http://www.geant.org,@GEANTnews
HNSciCloud,Helix Nebula Science Cloud,01/2016,12/2018,http://www.hnscicloud.eu,@HelixNebulaSC
ICEDIG,Innovation and consolidation for large scale digitisation of natural heritage,01/2018,03/2020,http://www.icedig.eu,@ICEDIG_eu
INODE,Intelligent Open Data Exploration,11/2019,10/2022,http://www.inode-project.eu,
NEANIAS,"Novel EOSC services for Emerging Atmosphere, Underwater and Space Challenges ",11/2019,10/2022,http://www.neanias.eu,@Neanias_eu
NI4OS-Europe,National Initiatives for Open Science in Europe,09/2019,08/2022,http://ni4os-europe.eu,@NI4OS_eu
OCRE,Access to Commercial Services Through the EOSC-hub,01/2019,12/2021,http://www.ocre-project.eu,@OCREproject
OpenAIRE-Advance,OpenAIRE Advancing Open Scholarship,01/2018,12/2020,http://www.openaire.eu,@OpenAIRE_eu
OpenRIskNet,"Open e-Infrastructure to Support Data Sharing, Knowledge Integration and in silico Analysis and Modelling in Risk Assessment ",12/2016,11/2019,http://openrisknet.org,@openrisknet
PaNOSC,Photon and Neutron Open Science Cloud,12/2018,11/2022,http://panosc.eu  ,@Panosc_eu
PRIMAGE,"PRedictive In-silico Multiscale Analytics to support cancer personalized diaGnosis and prognosis, Empowered by imaging biomarkers ",12/2018,11/2022,http://www.primageproject.eu,@primage_project
PROCESS,PROviding Computing solutions for ExaScale ChallengeS,11/2017,10/2020,http://www.process-project.eu ,@PROCESS_H2020
RDA Europe 4.0,Research Data Alliance,03/2018,05/2020,http://www.rd-alliance.org,@resdatall
SSHOC,Social Sciences & Humanities Open Cloud,01/2019,04/2022,http://sshopencloud.eu,@SSHOpenCloud
TRIPLE,Transforming Research through Innovative Practices for Linked interdisciplinary Exploration,10/2019,10/2023,https://www.gotriple.eu/,@TripleEU
VirtualBrainCloud,Personalized Recommendations for Neurodegenerative Disease,12/2018,11/2022,http://virtualbraincloud-2020.eu,@TVB_cloud
XDC,eXtreme DataCloud,11/2017,01/2020,http://www.extreme-datacloud.eu,@XtremeDataCloud
